SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
NAVINFLUOR,EQ,5133.5,5164.5,5070,5148.8,5130,5102.5,66154,339260257.10,29-Jul-2025,11017,INE048G01026
NAVKARCORP,EQ,119,140,117.53,137.23,136.9,118.71,5148600,682610653.14,29-Jul-2025,41681,INE278M01019
NAVKARURB,BE,2.17,2.26,2.17,2.26,2.26,2.22,3107521,7013213.29,29-Jul-2025,158,INE268H01044
NAVNETEDUL,EQ,149.5,152.1,148.61,151.47,151.3,150.12,83293,12543225.40,29-Jul-2025,4132,INE060A01024
NAZARA,EQ,1348,1371,1330,1367.8,1363.2,1347.2,1061873,1441232650.60,29-Jul-2025,15032,INE418L01021
NBCC,EQ,108,110.05,107.15,109.57,109.85,108.51,5523420,600316862.09,29-Jul-2025,28868,INE095N01031
NCC,EQ,214.31,223.69,214.09,222.98,222.46,215.51,3053483,676076446.56,29-Jul-2025,31196,INE868B01028
NCLIND,EQ,220.9,224.45,219.11,222.2,221.5,220.98,88551,19644483.90,29-Jul-2025,1123,INE732C01016
NDLVENTURE,EQ,65.42,70,64.14,68.6,68.5,64.14,23163,1573630.72,29-Jul-2025,587,INE353A01023
NDRAUTO,EQ,964.9,1030,964.9,1018.5,1016,964,74857,75786393.80,29-Jul-2025,9638,INE07OG01012
NDTV,BE,140.11,141,136.1,138.52,140.65,140.49,32386,4487419.08,29-Jul-2025,589,INE155G01029
NECLIFE,BE,16.57,16.8,16.03,16.44,16.5,16.57,415725,6827812.12,29-Jul-2025,906,INE023H01027
NEELAM,ST,22.55,22.55,22.55,22.55,22.55,22.95,6000,135300.00,29-Jul-2025,1,INE0N1401016
NELCAST,EQ,156.01,163,155.29,161.6,161.2,156.01,285544,45770235.72,29-Jul-2025,5264,INE189I01024
NELCO,EQ,847.1,855.5,835,847.2,848,846,43640,36913359.20,29-Jul-2025,3376,INE045B01015
NEOGEN,EQ,1557.9,1574.5,1535,1545.5,1542,1558.4,24110,37320174.20,29-Jul-2025,4720,INE136S01016
NEPHROCARE,SM,142.5,142.5,139.05,141.65,141.5,142.7,23200,3273100.00,29-Jul-2025,34,INE0SUN01013
NEPTUNE,SM,141.5,141.5,138.25,138.25,138.25,139.9,5000,696000.00,29-Jul-2025,5,INE156901014
NESCO,EQ,1230,1250,1211.5,1245.6,1243.5,1235,61713,75959857.30,29-Jul-2025,9861,INE317F01035
NESTLEIND,EQ,2230,2258.1,2219.9,2223.7,2229,2229.3,900961,2007736644.40,29-Jul-2025,47418,INE239A01024
NETWEB,EQ,1815.1,1994.7,1812.5,1972.8,1964.6,1827.5,1246539,2411943082.00,29-Jul-2025,93468,INE0NT901020
NPST,EQ,1952.1,2110,1950,2076.6,2067.5,1977.5,75882,155530667.40,29-Jul-2025,8041,INE0FFK01017
NETWORK18,EQ,56.59,57.07,55.52,56.46,56.9,56.25,4236626,238443680.72,29-Jul-2025,18884,INE870H01013
NEULANDLAB,EQ,13945,13965,13653,13840,13848,13875,42514,587584047.00,29-Jul-2025,14257,INE794A01010
NEWGEN,EQ,855,863.8,841.5,858.1,859.4,853,286878,244693452.40,29-Jul-2025,24332,INE619B01017
NEWJAISA,ST,31.05,32.35,30.95,32.3,32.3,32.5,13500,424725.00,29-Jul-2025,9,INE0PW501021
NMSTEEL,ST,26.6,28.5,26.6,28.5,28.5,27.5,3200,88160.00,29-Jul-2025,2,INE0TP801012
NEXTMEDIA,EQ,6.49,6.49,6.33,6.37,6.37,6.47,7770,49563.95,29-Jul-2025,45,INE747B01016
NXST,RR,148.65,149,147.9,148.49,148.31,148.65,380874,56416091.22,29-Jul-2025,6955,INE0NDH25011
NGLFINE,EQ,1203,1270,1203,1214.5,1206,1244.5,940,1163131.60,29-Jul-2025,245,INE887E01022
893NHB29,N6,5650,5650,5650,5650,5650,5635.43,9,50850.00,29-Jul-2025,2,INE557F07181
NHPC,EQ,83.7,84.35,83.12,84.04,84.17,83.7,7882251,660882421.15,29-Jul-2025,39590,INE848E01016
NIBE,EQ,1792.9,1794.3,1729,1743.6,1740,1754,45434,79711497.30,29-Jul-2025,4871,INE149O01018
NIDAN,SM,19.05,19.05,19.05,19.05,19.05,19.95,1000,19050.00,29-Jul-2025,1,INE0J6L01013
NIITMTS,EQ,324,336.6,319.15,324.55,324.05,324.95,474942,153636288.05,29-Jul-2025,11069,INE342G01023
NIITLTD,EQ,116.6,118.99,115.67,118.53,118.7,117.16,278844,32752164.27,29-Jul-2025,4516,INE161A01038
NIKITA,SM,79.9,80,77.5,79.9,79.9,80.2,58800,4630800.00,29-Jul-2025,32,INE0FLF01015
NILAINFRA,EQ,10.91,11.59,10.91,11.47,11.47,11.03,474878,5377359.55,29-Jul-2025,1201,INE937C01029
NILASPACES,EQ,13.7,14.43,13.69,14.19,14.2,13.75,426144,6037594.49,29-Jul-2025,1346,INE00S901012
